sin,cos,sin2x,cos2x,3sinx,3cosx,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,1,0,0,0,0,1.695072066,0.0458822407,2.380391124,-3.835336273,0.566235014,-0.262022816,-0.415147449,1.581673357,1.270339683,0.86113341,5.087800852,-2.584008494,0.741253144,0.424928311,-4.804384412,-2.276576871,0.52273201,1.384444276,-1.371598394,-0.35441237,1.140888232,2.695266976,-0.399573183,-0.0297615523,-3.648077381,1.164013116,-5.381423693,-1.775553495,-1.27297888,-1.273363468,1.483155525,-2.748772749,-2.420701432,-1.263796308,-2.470536739,0.209159447,0.198827049,-1.67370289,-3.382226126,1.126825608,-6.301294878,3.746817089,-2.026919477,0.0649282801,0.677107515,-0.981246661,-1.143956391,0.956486076,-0.534687914,-0.35275034,-0.0497347349,0.83608791,0.477617993,2.479641457,1.275854981,-2.381286473,-3.545953361,0.473387327,2.05794524,1.64372181,0.527360407,-1.347992441,2.313822343
0,1,0,0,0,0,2.000405101,-0.987905648,1.553299674,-0.580816441,-3.558648584,-1.209321174,4.460967683,-0.356368107,1.206033261,-0.745166795,2.041209582,2.093430445,-1.938862864,0.77168836,-2.390030903,2.270240045,-1.2430777,-1.445105428,0.844977569,0.607849752,-1.825480178,-0.487792808,-2.983537611,-1.293229197,0.861271288,-4.915738667,-4.491646756,0.321008751,-1.883972405,-4.233877717,0.0906883648,-3.202865913,-2.738495452,-3.577905759,-4.066800111,-2.96933683,-1.94808376,1.278505555,-5.882615157,-0.881989207,-1.318702297,-2.888539376,-1.352788728,-1.068859456,-0.94780306,1.860211812,0.202374358,-1.402768154,1.936554946,0.279710755,1.918657433,-4.701647251,-2.138207992,1.250252619,0.497068377,3.014662926,-3.961361977,2.929950381,5.57636308,2.624403401,-0.00950493644,4.411561519,0.140479096
0,1,0,0,0,0,-0.236986214,0.36963679,1.096421933,1.917602575,-1.923396919,-0.992386941,-1.852767065,1.214390895,1.119226,2.971717996,1.307965188,-0.00706740138,-3.27834081,-1.076802816,-2.033151211,1.369391103,-0.418342232,0.830448544,6.074019439,-0.243196153,-1.59331895,1.713594547,-3.091536093,1.408428946,-1.472780936,1.282443194,-4.156710566,-3.423014616,2.756458812,3.551206701,-6.594156742,-0.198633178,-3.931920161,-2.716619823,2.412586563,-2.144106628,-1.71945114,-1.370571064,-0.983304254,0.178637422,-5.137673441,-4.050785169,-2.233898054,-3.691663365,-2.248598247,-3.47274189,-0.869362519,3.070387845,7.884661835,3.592169764,-0.926056618,-1.11881963,0.937666935,0.353860908,-1.562649829,1.848349142,-0.230291202,0.247847507,2.84361548,2.343750768,-0.533330058,-0.130208601,5.487582737
0,1,0,0,0,0,3.089471362,1.957903599,-0.792090621,0.728628823,1.644685778,-3.647114066,3.29394652,0.501848094,-1.181119161,-1.377047074,0.950832272,3.335520238,2.946867461,1.330595794,2.746763918,-0.91495318,-0.946030883,0.880062869,1.63844752,4.08358281,0.307723906,1.261272799,-1.606599672,0.236245683,0.364733274,-1.014453535,2.650897701,-3.596600596,-1.563390755,-3.77471446,1.903634026,0.744553555,0.14088377,-6.771716536,0.489571192,-0.00863365703,1.744641817,-1.664091911,-3.398927817,-1.194533595,-6.536634593,-2.841782559,-0.828765053,0.969297998,1.298989172,-2.605570598,0.0109645072,-3.092069767,0.431936948,-2.743015489,3.158168256,0.411929992,-2.302675748,-0.72800211,3.278099656,0.819617233,-1.469344426,-0.47999764,0.400070187,-1.638264028,-2.359802495,-1.210289918,0.0239606237
0,1,0,0,0,0,2.814345554,1.008113518,2.597569762,0.891760839,0.394709131,1.743709077,3.162295489,3.657367853,-0.442160363,-3.496747409,4.553779836,-1.514502534,0.571080764,-0.626484289,0.598593905,-0.57840873,-0.59344816,-1.120988469,1.758852824,1.420095808,-1.693788409,6.892303167,-0.562266136,-1.807308149,-1.520140799,-1.132236293,0.872801706,-5.187017317,0.639336027,2.597083203,-4.214629514,-3.817601808,-4.203958835,-0.0224193994,1.038550711,-1.267671804,-1.608521719,-1.549640899,0.149837009,1.530887074,0.938996751,-2.096347028,3.020699319,-2.658631801,-2.05634369,-1.661708112,2.807133229,-2.186994009,0.823975812,-3.75279817,1.644802385,0.511443414,-2.65018316,-0.452752741,1.021705352,-2.682000292,-1.154604701,5.146272975,0.932620904,-1.541478837,-2.831596865,-0.275136728,-0.955873094
0,1,0,0,0,0,1.820904917,2.607165886,1.585528647,6.116520516,-1.885687394,7.288720972,-1.845387473,1.967910669,1.398399919,1.531280324,-4.857852009,4.225186201,-2.783318028,0.99222474,-3.895760883,1.5404507,3.648445504,-2.771446734,-0.0898597212,-0.347292425,-3.335507797,-0.197520515,-2.718861597,-5.735272277,0.203461917,-1.145634424,-2.027561503,-2.102786439,-2.158734209,0.739859108,-0.68864089,-3.452119435,-1.399825454,-1.674969394,7.129333874,-3.897812469,-4.895309737,-0.261115759,2.083904779,-1.566723414,-0.628597158,0.110324493,-3.671390972,-5.568521454,-1.572721225,0.869003001,-0.503667469,-0.382838039,1.001795046,-2.370041544,0.696168261,-3.185572346,-1.500561297,-4.593741355,1.025847938,-1.620310955,-0.267040782,-0.76245423,1.368812303,-1.238160439,0.362835948,2.224371131,3.887736262
0,1,0,0,0,0,-3.4387378,2.350940949,4.13411626,-2.306851594,1.574740784,1.58051933,-2.245010151,1.17103912,5.080179729,1.692260928,0.809000575,-0.339964062,-0.498837413,3.843568258,-0.295086053,-0.233849306,1.957162691,-2.006651682,-1.546247458,3.719235099,-2.023063397,-2.003175272,-0.970368216,0.259558279,0.669708027,-1.669142964,-0.273769186,-1.031369532,1.762798415,-0.393374304,-0.244005747,2.232411688,-4.241037007,-0.0436104938,-4.325013279,-1.552246035,-5.527461124,-4.291328232,-1.17409286,-7.161865649,-0.422725005,0.101169664,-0.410639385,0.120239272,-1.018136704,0.0672922525,-0.339584343,1.392337486,-1.271370057,-1.49919709,-0.535772399,0.9618371,2.394956337,-0.348154973,1.690454014,4.190329119,2.750434888,0.752792861,4.667976685,1.082881723,5.974687772,3.851088863,-4.117444438
0,1,0,0,0,0,-0.393872978,2.750380623,0.0517563277,1.511701968,1.995734695,2.478095654,2.209336187,3.27544219,2.874922465,0.539161269,-0.560050745,-1.218873707,-2.614433035,1.570402596,-0.526686669,3.779346641,2.280880445,2.513313973,-2.303491132,-0.335291844,0.644480974,2.3469891,-1.654617358,3.939122648,-0.612269916,-0.925810291,3.403495162,-1.479292685,-5.217654162,-0.714391115,0.119121028,0.920719678,-1.274203308,-3.474035773,0.475190812,-1.405267299,0.241717987,-1.778451566,-3.454368241,-0.864295091,-1.081776673,1.145746778,-1.938964072,-1.47478975,1.137793296,0.15587402,-0.580962143,-4.159732467,0.601409779,0.253682679,-4.425612892,-0.813376047,0.152433772,-1.246173315,5.218159221,0.824229954,-1.772808959,1.596868042,3.831391051,-1.105349422,1.827390186,-4.628878509,3.279238844
0,1,0,0,0,0,-0.273128443,1.427340627,3.293807767,-2.011984459,2.98285333,4.126288781,-1.280035463,4.544250085,3.051749345,5.639664438,-1.635933597,-1.222806457,1.938067822,1.24254371,-0.199420479,1.551661387,1.769187831,0.626890979,-4.368349033,0.521127448,-2.71143457,-1.216803335,1.070671074,0.447457928,-3.48676766,-1.836831949,-2.794163314,-0.113531169,-2.085802781,-0.0582384878,2.269570434,-1.418517931,-3.093099842,-2.179811099,-0.888380182,-0.960255889,-0.626768006,-1.891522094,-4.62764017,-1.3896109,0.478273075,-2.992739875,-2.188213843,-1.246818638,-3.817720716,-1.32105931,-2.563072315,-5.507528159,-1.833733529,-0.908786574,-2.66007983,-3.449968986,-1.938022519,4.099174853,-0.806336062,0.701601017,4.961628249,0.502566942,3.280078356,1.615625381,0.164859205,0.489830011,5.12426841
0,1,0,0,0,0,3.980125002,-0.703191998,5.927389891,-1.330020505,1.333290131,-1.742725257,1.746110106,1.445612694,2.357607519,0.671754923,-2.623549116,-1.122105988,3.224410731,-1.442253532,1.831500833,-3.881618651,-0.454804524,-2.015652008,-0.583677033,-0.94104826,0.56941886,-1.410173817,0.893149887,-1.336247155,-1.413689762,-2.566938932,0.212483598,-0.287582834,-0.934427871,-1.905637707,-4.86258517,-2.919568508,1.763809469,-3.10307268,1.902042471,1.552603209,-2.63396114,-5.165495503,-0.850548314,3.385170944,0.115598777,-1.537437076,-1.090245931,-3.923636589,0.858561241,-1.971566054,-0.262326633,3.494523563,0.304123986,7.676772737,1.396805483,0.207324017,0.434546249,-0.976395477,-2.617938993,-0.387143244,1.650372548,0.959356052,1.645924507,1.934204855,0.169649721,2.835604314,-1.02538922
