sin,cos,3sinx,3cosx,sin2x,cos2x,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105
0,0,0,0,1,0,-4.496755689,-4.152933154,2.04443691,1.129836988,3.589565951,-1.886005218,-2.849466171,0.885720434,1.29899936,0.895275737,1.225573318,0.644382351,-3.279319513,-0.114750594,6.585335634,-0.645142545,6.342875185,-1.984207467,3.889441512,-0.96584244,1.21743318,1.6579096,-0.355656515,0.428277054,2.480283642,1.034595766,-2.08975202,2.825309992,0.477429475,-1.237741897,3.113614657,-1.686828738,1.829787475,-0.765024484,-2.969094488,1.642630654,-2.446823719,-0.666980739,0.491500993,4.352230975,-1.157670386,-5.998970999,-2.197372532,-0.278633951,4.560657718,2.242822406,-4.746237337,2.367640368,1.656278521,-2.653987594,-3.07798289,0.48974982,-6.944835795,0.320774574,-1.770014572,-0.835496515,2.198741148,-2.756625236,-1.780862809,1.211147473,-3.794964838,5.584976373,6.724088764,-1.870316682,3.633268529,1.932307572,2.712456871,-1.350508432,1.580448701,-4.000196966,1.702009908,7.952498405,2.24703747,4.262168714,-0.165750394,1.398105194,2.216036364,2.60751712,0.54137808,-2.197881377,-7.965630316,-0.571647158,2.645048356,-2.639647582,-7.810923516,3.390859541,-2.354870701,-2.046850106,-3.270245211,3.206482875,-0.0147207872,0.597390082,-5.655408346,-0.886274821,-0.0296931191,-2.424205649,1.303141175,3.393380795,-1.640240859,-3.99991878,-1.490348522,4.662955939,-0.276293042,-2.123171099,0.461788284
1,0,0,0,0,0,2.91437941,-0.872008164,4.703530544,4.881954129,-0.640570925,4.114552186,0.345721843,-1.751707857,0.652646067,0.396691452,1.173048607,-0.285444383,-1.650669849,4.287820978,1.614577987,0.250057204,4.185154203,-0.590525288,2.365592425,4.435073407,2.321973621,3.993108076,1.123129544,5.952642235,4.234744292,-1.913719993,-2.375558509,4.069446034,2.601939922,5.374560591,0.696371949,-0.290699249,-3.697711232,1.605627088,0.377861398,-0.72215138,-4.761562664,-2.546954448,-3.235997249,1.478741447,0.192900205,3.183160804,3.761913682,3.892925576,4.018253962,-4.512445865,1.355516972,3.790515333,1.542270593,1.027316641,2.610204951,1.087691757,-3.49106196,-6.308281697,1.817063021,4.297467899,-4.824638226,0.648522576,0.660939388,-4.724929588,0.131247974,5.696322844,0.965643631,-0.21637083,-1.763932295,-1.904236666,4.32127397,-1.426628241,-1.236857627,1.965201799,-3.524048926,-2.762606509,4.786219707,-3.215095485,-3.079577133,-1.516931732,0.319364458,0.991848867,-2.225557191,-0.175940557,-1.175976952,2.831818116,-0.16266724,0.0893289297,3.617867461,-5.506309832,0.431767134,-5.617513154,-1.713013315,-7.350474088,-5.636453595,-1.274493856,-9.782224256,-0.320469457,0.355119026,-0.438217274,0.236344481,-1.450837155,0.000459590069,-0.657744337,1.704812928,-2.140790582,-2.543589916,-1.260484414,0.781551377
0,0,0,1,0,0,3.51596398,-1.922086057,1.578627377,-2.223434286,4.201519174,3.185222272,1.904417405,3.662564324,5.695678969,6.815104724,4.633158443,-0.66628786,-0.674972275,3.710984796,0.037606153,0.250321287,1.500222506,3.040973936,1.133437963,-0.581636044,3.279298245,-4.578538354,-1.842893236,-0.137653112,3.139601386,0.334061136,3.263511472,-0.228360507,2.503827708,-0.580172642,-0.466654173,-1.360886582,0.344736184,-3.151535167,-3.085169001,-1.602057717,0.167538836,-7.116948731,-3.286635124,-4.723344302,-5.080933073,-3.636581475,-2.718339596,-2.620072072,1.148338081,-3.247310476,-4.201225464,-3.115343764,0.0402882374,-2.802990618,-1.757876147,-4.706285325,-2.489566469,-5.425872332,-1.868336173,-0.449026051,-9.89798266,-6.665840551,-2.759318655,-5.408807242,-6.548310712,0.43777064,0.539147853,-2.65119417,1.759571035,0.263526423,-7.46974649,1.711886431,-0.485468443,-4.194056431,-1.20287523,-0.464739361,-0.773429054,-3.337284012,1.929062902,0.79885969,1.578814935,-0.901904818,-5.662425933,-2.251836348,1.093997576,-2.278004759,0.274802057,-0.0642914587,0.861221273,2.789178054,-2.795324352,-0.250052171,2.957825538,0.0195724882,2.246850271,3.377453997,-1.373216389,5.242585431,3.91097952,1.6494727,2.793699913,6.601965496,-3.699567315,1.707883586,2.13734206,7.78124202,-5.670261407,1.601580454,-1.367151275
0,1,0,0,0,0,1.251954829,7.141598141,0.0201658381,-6.684425453,0.207586402,0.699003883,2.57974812,5.273089802,-0.601033953,5.2266402,-0.932935221,2.181952052,2.851018826,-1.802929726,0.140282826,2.569596489,2.158299703,-1.694484081,-2.11490323,1.150285494,4.794467204,-1.83036856,4.393807665,-3.231486113,4.049133628,-2.790302029,1.727460204,2.914533807,-2.711874387,7.207709632,-5.412589867,-3.2572988,7.594475104,-2.509448464,-3.280863378,-1.569260597,0.0815672405,-6.14409509,-5.096181033,4.467007282,-4.203541208,-0.881220063,2.234721221,-4.338236947,-2.628334657,0.509169031,0.321763605,0.34270375,-2.160358189,-2.147170448,-2.129340761,3.108466982,-1.465880049,-1.707581297,4.035596224,-1.645542804,0.245725513,-9.297197051,-2.925372157,1.849513393,0.194038596,-3.880585634,-2.045107972,-2.350535909,5.067365393,4.054203653,2.176984229,-0.228070181,-1.964795934,-8.406845305,-2.687378315,0.092309129,2.819130828,0.46933153,-1.439107097,4.827585294,7.853039602,-2.763211124,-0.367763656,0.997827121,5.812784736,1.165656083,7.295440746,0.680554425,10.27353066,-1.851423435,-4.345249037,1.641203328,3.155958561,-0.767097148,1.773402587,-1.443168646,1.400258036,-3.162918066,3.677519372,5.789244981,-5.698130419,-1.303777754,2.833441614,2.714835904,3.327321586,0.11738397,1.585227686,3.41000869,-0.34373411
0,0,0,1,0,0,7.737818208,4.116712295,3.337214767,2.06375442,1.139403386,3.61878723,1.931696084,-5.225921895,3.318991018,1.2844644,7.672181208,3.494052218,-0.389494676,-1.658663696,5.17102098,-0.790343897,2.468318612,4.911250113,0.0748326788,2.337097231,0.64517382,1.669226407,-4.106595807,1.100282435,-1.457891187,-0.471121231,-2.609690835,-3.669563372,-1.870507052,0.0856963541,3.503439986,-3.112365557,-7.646851217,-1.404776961,-7.790717319,2.807726167,4.492320991,-4.814189422,1.140044834,0.40430627,-2.547534866,-2.438351051,-1.701896604,-2.920005089,-3.88319064,-2.771326437,-3.689066658,-1.853365435,-6.246008847,0.621222216,0.712315632,-1.93373024,-7.749113644,-1.128507744,-2.61783043,-1.833919202,-3.324868908,-3.066514409,-5.887781865,-3.561782665,-4.556271989,1.270864881,-6.153341792,-3.119390252,-3.497944341,0.946192603,-2.513331206,0.54905583,1.297333639,3.214645263,-2.212843533,2.536710311,3.524362665,-6.45679068,-1.560253295,-7.632552229,0.894015207,-1.312029685,2.251182953,0.930828003,6.990889995,6.442801611,1.709691973,5.209376663,-2.174190777,-3.446360073,1.149648374,-0.156705709,1.079636908,5.739324429,-0.23816458,-4.324972326,6.954789781,0.146941728,5.354743859,5.234541119,2.335762866,3.688289345,4.498616731,-0.647037955,2.035384349,2.451796606,1.455321392,4.719801687,7.939350683
1,0,0,0,0,0,5.286617046,-3.77028441,1.146864494,0.105412332,1.382602868,3.814703161,9.054862037,-0.828889771,0.608396212,-4.34749548,-2.444716008,3.18927941,12.82841946,0.242673453,2.601224206,5.022779242,1.612779141,0.230389592,-0.170652268,-0.294829526,1.073445817,0.651061867,-0.915433036,-2.315578807,-5.983513527,3.299848583,0.164491831,1.892582134,-2.207588034,3.505614682,5.509385747,-2.233855914,-2.145330383,2.126235748,5.770014687,-0.783663748,-4.70817648,-1.652502642,-5.146616585,4.630775274,-2.345266972,5.46723267,4.726535727,2.886212811,0.144668697,1.464889502,1.900232877,3.319349877,-3.33920124,0.0361858658,-1.053768812,5.111546391,-0.0470152147,-1.868721825,-0.901190045,1.780204002,6.073478844,1.504980318,-1.336939986,-1.78899498,-2.378463196,-6.438545869,2.764407327,-2.963616071,2.311186942,2.122269285,-1.348049749,-6.658934322,-3.867391496,2.546371841,-2.130783206,-1.722996044,-4.095836306,-6.322448241,-5.193149962,0.0504933148,-0.229650547,0.383510031,1.075398316,-4.30537155,-1.139815216,-4.024218878,-0.818683062,-4.781467535,1.240415159,-2.727890725,-3.422233139,-0.520069289,0.800362276,2.937400868,0.227515802,1.758768313,1.474228095,1.596089529,-1.834104161,-4.592361629,1.841336332,6.260837045,-2.46774936,-5.414452594,3.554649728,-1.120349792,-4.939436771,-2.177484371,3.0953958
0,0,0,0,0,1,-2.320524482,4.995781721,-1.556701781,4.789173519,-1.860482999,0.821152524,-1.469017621,-2.177098817,1.964395977,-0.414058472,0.813329809,0.396111497,0.816059617,1.546435684,-0.216963133,-3.995018762,2.155555983,-1.328054448,1.034299136,5.228616438,0.619243217,-1.542561411,-0.258852554,7.13470498,-5.08517971,-3.796409811,5.90006392,-3.692988005,0.469242341,0.0108373961,-6.149616801,-7.052103276,-4.430115498,-5.982386573,5.162091937,0.285063729,3.87803838,-3.01475445,3.274497509,1.580379148,1.423965245,3.870725781,0.47717454,4.055016212,-0.816277308,0.136666506,0.685416612,-6.614205507,-0.778655021,0.499773898,4.205343415,6.009276561,-1.57055208,-1.540041719,-0.942411015,-8.557117547,0.454568092,3.72973067,-1.97467103,-0.385356473,3.48077386,-1.808696819,1.513959238,-0.992666613,-2.174654986,4.44741464,-2.890148469,2.597134253,-6.977801032,1.624133263,1.704139708,3.660044767,-1.520580598,-3.596157719,-0.628848487,-1.240231086,5.831396782,-3.082278715,-5.831515816,-4.784069359,-3.223198987,-0.430913592,-6.172751135,-2.446772531,-2.862563668,-3.785164662,-2.597222601,0.555242556,-1.271495569,3.687985638,0.557071854,8.807078,-1.238620385,-1.439116953,0.969116386,-2.809071982,3.677426452,4.550130791,-0.618404446,-2.312658181,0.118753134,-3.489495162,-1.426651357,-2.281186812,2.017378232
0,1,0,0,0,0,-1.433357741,-4.413398486,1.76094788,1.165256928,3.758492893,1.541039543,0.857773587,-2.723214295,0.716514149,0.283603308,-0.668765599,1.05485088,1.853566939,-3.242397989,0.294029119,-1.957959951,-1.528863669,1.982796708,1.363565244,4.561024714,-4.511049128,-0.330515997,-0.922352591,-4.816615417,2.215933551,3.155937398,-0.883892206,-0.742837923,1.159620007,0.256331467,3.727721234,-1.197909743,0.0768617775,2.64285377,-0.886163926,3.646818841,1.286259785,0.85484649,1.926037809,4.914146474,-3.380457722,-2.214539439,-0.960999442,3.516867763,1.240692387,-2.308836032,-4.476864415,-0.219664661,1.89452714,0.111663443,2.875079454,-4.023847516,-0.399722966,-3.443747573,3.569547641,-2.044856665,-0.959338821,-4.78798824,2.131421063,-6.707108246,1.528208666,-2.591275171,2.389024452,1.878356702,-1.028494595,3.513551119,3.381064493,-3.738510642,0.681229481,-3.562290905,-1.240907011,0.679542348,5.031001058,-2.517156888,-3.168537554,-0.486232515,-2.70205341,-4.101778217,-5.218342287,3.760443459,1.813472785,-2.835468586,-0.159119796,1.835876064,0.912049404,-0.878981097,4.085188027,1.894437874,-5.485078555,2.121867293,1.778497901,6.197801032,-0.163753562,0.998828866,-0.344216631,3.848441745,2.900344843,-2.585915207,-1.035931642,-2.075728773,-0.831435772,-5.512266118,-0.496300749,-2.679195429,0.6503644
0,1,0,0,0,0,-2.682096455,1.981154741,0.798408864,4.241145597,-5.719750467,3.914938259,7.561889472,3.310059171,-0.482707736,5.700301372,-0.383885514,6.035613373,3.364238359,6.977956969,-1.113096649,-6.032390748,-3.500680898,3.10110408,1.017981745,-1.99728661,-0.0317908353,-1.548021302,5.263414087,-1.196362243,-1.199759977,-0.0948958592,-1.086332427,-3.827968458,-0.687743151,-0.497018005,1.705666212,-7.934837791,1.066072765,1.992557103,-6.408398108,1.859224814,0.470891739,-3.78338943,2.329058766,2.063960996,-2.339997082,-5.706059021,1.426418509,0.49752269,5.754959992,-2.323411917,2.294046474,1.726846946,1.539845344,-0.443965856,-2.978022233,3.177641539,2.711741839,-2.211516661,-7.156271565,4.208777091,1.151104187,2.193672128,-1.366637598,2.331229621,-1.948167555,5.154605685,0.0811032404,-0.673245023,-6.904233413,0.362372298,-3.282739547,-2.790273066,-1.775675884,3.20211041,4.342944548,-8.046419555,-2.924660076,0.235205704,-8.821938228,1.287485874,-3.290073286,0.644254534,0.0686826843,-3.992050059,-5.751830339,0.629137673,-1.649826933,4.043306636,-3.95759457,-3.285334947,2.697897546,2.661600268,-2.156403439,-4.271245572,-2.996038017,3.278702944,-0.602367904,-0.921782526,1.886836554,4.077752768,2.406178216,-0.387180227,-0.781434521,-0.670318126,0.807452299,5.076564628,0.688863662,-2.404495635,1.247058965
0,0,0,1,0,0,3.77705899,-2.497056782,1.492158488,1.83670815,2.342822969,-0.88915151,-2.243104009,6.067194046,-0.0289299008,1.780262266,5.649191876,6.030934828,3.91274742,-1.20561838,1.003884635,1.252544068,-2.034100868,-1.068927551,5.783070088,1.627189721,1.314030312,3.571402304,2.922608505,2.288980041,7.17533901,0.768182591,-2.299756971,-3.70568223,-0.354228918,6.007852027,-0.391919689,1.511644592,-1.21447159,-1.487214784,-1.583587255,-2.933044842,-5.473516819,-2.996448846,-0.602899271,-0.540037301,-7.566707567,3.127447891,-3.678449363,1.181966492,2.130795339,-7.470792853,-1.101008503,-3.575067035,-0.260690815,-2.368403494,-6.694671189,-1.387311746,-5.451427385,0.814422539,0.174212763,0.0886764344,-2.938103445,-5.60550601,-0.295485284,-1.870321363,-3.730395782,-0.38560142,-1.4629799,-7.581853885,-0.387078252,3.353634089,-0.125637271,1.855997151,-5.936528979,-0.0337411574,0.195226357,2.334601119,-1.615962504,6.661687811,-1.184269514,-3.337546492,-5.032499018,-7.353124471,-2.747060968,-0.667847662,-2.593023948,-0.487785762,5.28691623,4.062038626,4.099084839,-2.762114274,3.014954201,1.926998212,-1.013180862,-6.291941409,-5.576154441,8.5889708,4.518675531,3.048506451,3.906721118,4.269134613,11.06539939,0.275907272,4.729236929,1.250644325,-1.713711254,9.207299304,8.030565588,-1.517311131,6.842580221
